zip,lat,long
64130,39.034838,-94.54507
54111,44.826617,-88.4018
64130,39.034838,-94.54507
64134,38.928206,-94.49832
64133,39.013905,-94.4591
64134,38.928206,-94.49832
64108,39.084554,-94.58296
64131,38.972473,-94.57656
64108,39.084554,-94.58296
64130,39.034838,-94.54507
64110,39.033505,-94.57286
64111,39.056505,-94.59439
64110,39.033505,-94.57286
64114,38.966056,-94.59641
64110,39.033505,-94.57286
64128,39.066754,-94.5365
64117,39.165253,-94.53158
64126,39.092304,-94.49948
64158,39.230259,-94.47794
64111,39.056505,-94.59439
64108,39.084554,-94.58296
64138,38.969806,-94.47256
64106,39.103704,-94.57311
64131,38.972473,-94.57656
64123,39.113604,-94.52287
64110,39.033505,-94.57286
64120,39.125304,-94.53234
64123,39.113604,-94.52287
64133,39.013905,-94.4591
64134,38.928206,-94.49832
64109,39.065954,-94.56643
64147,38.849841,-94.54555
64119,39.202654,-94.51816
64061,38.765972,-94.09708
64158,39.230259,-94.47794
64128,39.066754,-94.5365
64133,39.013905,-94.4591
64134,38.928206,-94.49832
64111,39.056505,-94.59439
64127,39.089704,-94.53968
64108,39.084554,-94.58296
64111,39.056505,-94.59439
64134,38.928206,-94.49832
64108,39.084554,-94.58296
64110,39.033505,-94.57286
64130,39.034838,-94.54507
64130,39.034838,-94.54507
64127,39.089704,-94.53968
64130,39.034838,-94.54507
64157,39.283535,-94.4705
64123,39.113604,-94.52287
64129,39.051455,-94.4966
64133,39.013905,-94.4591
64111,39.056505,-94.59439
64105,39.104204,-94.58868
64127,39.089704,-94.53968
64110,39.033505,-94.57286
64111,39.056505,-94.59439
64111,39.056505,-94.59439
64137,38.929356,-94.53932
64128,39.066754,-94.5365
64124,39.107304,-94.53985
64118,39.213082,-94.57248
64114,38.966056,-94.59641
64118,39.213082,-94.57248
64124,39.107304,-94.53985
64130,39.034838,-94.54507
64117,39.165253,-94.53158
64156,39.281486,-94.51296
64129,39.051455,-94.4966
64130,39.034838,-94.54507
64131,38.972473,-94.57656
64127,39.089704,-94.53968
64133,39.013905,-94.4591
64111,39.056505,-94.59439
64145,38.896407,-94.59666
64105,39.104204,-94.58868
64152,39.216635,-94.69991
64116,39.14912,-94.57314
64123,39.113604,-94.52287
64108,39.084554,-94.58296
64127,39.089704,-94.53968
64111,39.056505,-94.59439
